moviename,charactername,time
Iron Man,Tony Stark,77.25
The Incredible Hulk,Tony Stark,0.5
Iron Man 2,Tony Stark,61.25
The Avengers,Tony Stark,32.25
Iron Man 3,Tony Stark,62.25
Avengers: Age Of Ultron,Tony Stark,27.25
Captain America: Civil War,Tony Stark,37.25
Spider-Man: Homecoming,Tony Stark,8
THOR,Thor,43.25
The Avengers,Thor,18
THOR: THE DARK WORLD,Thor,35
Avengers: Age Of Ultron,Thor,13.25
DOCTOR STRANGE,Thor,0.75
THOR: RAGNAROK,Thor,57
Iron Man 2,Natasha Romanoff,9.25
The Avengers,Natasha Romanoff,24.75
Captain America: The Winter Soldier,Natasha Romanoff,24.75
Avengers: Age Of Ultron,Natasha Romanoff,18
Captain America: Civil War,Natasha Romanoff,12
THOR: RAGNAROK,Natasha Romanoff,0.25
GUARDIANS OF THE GALAXY,Peter Quill,46.75
GUARDIANS OF THE GALAXY VOL. 2,Peter Quill,35.75
THOR,Loki,21.25
The Avengers,Loki,21.5
THOR: THE DARK WORLD,Loki,17.5
THOR: RAGNAROK,Loki,15
ANT-MAN,Scott Lang,50.5
Captain America: Civil War,Scott Lang,5.5
Iron Man,Col. James 'Rhodey' Rhodes,8.25
Iron Man 2,Col. James 'Rhodey' Rhodes,18.75
Iron Man 3,Col. James 'Rhodey' Rhodes,9.75
Avengers: Age Of Ultron,Col. James 'Rhodey' Rhodes,2.5
Captain America: Civil War,Col. James 'Rhodey' Rhodes,7.25
Iron Man,Nick Fury,0.25
Iron Man 2,Nick Fury,5.5
THOR,Nick Fury,0.75
Captain America: The First Avenger,Nick Fury,0.5
The Avengers,Nick Fury,18.25
Captain America: The Winter Soldier,Nick Fury,15.5
Avengers: Age Of Ultron,Nick Fury,3
GUARDIANS OF THE GALAXY,Rocket Raccoon,19.5
GUARDIANS OF THE GALAXY VOL. 2,Rocket Raccoon,19.75
THOR,Clint Barton,0.5
The Avengers,Clint Barton,12.75
Avengers: Age Of Ultron,Clint Barton,15
Captain America: Civil War,Clint Barton,4.25
Captain America: The Winter Soldier,Sam Wilson,14.25
Avengers: Age Of Ultron,Sam Wilson,0.75
ANT-MAN,Sam Wilson,2.75
Captain America: Civil War,Sam Wilson,10.25
ANT-MAN,Hank Pym,24.75
THOR,Odin,11.25
THOR: THE DARK WORLD,Odin,9
THOR: RAGNAROK,Odin,3.5
GUARDIANS OF THE GALAXY,Yondu Udonta,6
GUARDIANS OF THE GALAXY VOL. 2,Yondu Udonta,16.25
Iron Man 2,Ivan Vanko,20.75
Spider-Man: Homecoming,Adrian Toomes,19
The Incredible Hulk,Emil Blonsky,18.5
DOCTOR STRANGE,Baron Mordo,17.75
GUARDIANS OF THE GALAXY VOL. 2,Ego the Living Planet,17.5
THOR,Darcy Lewis,8.5
THOR: THE DARK WORLD,Darcy Lewis,8.75
Iron Man 2,Justin Hammer,16.5
THOR: RAGNAROK,Valkyrie,15.5
GUARDIANS OF THE GALAXY,Nebula,4.5
GUARDIANS OF THE GALAXY VOL. 2,Nebula,10.5
Spider-Man: Homecoming,Ned Leeds,13.75
THOR,Heimdall,4.25
THOR: THE DARK WORLD,Heimdall,4.25
Avengers: Age Of Ultron,Heimdall,0.5
THOR: RAGNAROK,Heimdall,4.5
DOCTOR STRANGE,Kaecilius,12.75
THOR: RAGNAROK,Hela,12.25
The Avengers,Maria Hill,5.5
Captain America: The Winter Soldier,Maria Hill,3.25
Avengers: Age Of Ultron,Maria Hill,3
THOR,Sif,8.25
THOR: THE DARK WORLD,Sif,3.25
GUARDIANS OF THE GALAXY VOL. 2,Mantis,11
Captain America: Civil War,Zemo,10.5
THOR,Volstagg,7
THOR: THE DARK WORLD,Volstagg,2.75
THOR: RAGNAROK,Volstagg,0.5
THOR,Fandral,7
THOR: THE DARK WORLD,Fandral,2
THOR: RAGNAROK,Fandral,0.5
Iron Man 2,Howard Stark,2
ANT-MAN,Howard Stark,1
Captain America: Civil War,Howard Stark,1.75
Captain America: The First Avenger,Howard Stark,4
THOR: THE DARK WORLD,Malekith the Accursed,8.75
Captain America: The First Avenger,Dr. Abraham Erskine,8.5
GUARDIANS OF THE GALAXY,Ronan the Accuser,7.75
Iron Man 3,Trevor Slattery,7.5
DOCTOR STRANGE,Wong,7
THOR: RAGNAROK,Skurge,6.75
Iron Man 3,Harley Keener,6.25
THOR,Frigga,2
THOR: THE DARK WORLD,Frigga,4
Iron Man,Raza,6
THOR,Jasper Sitwell,1
The Avengers,Jasper Sitwell,0.5
Captain America: The Winter Soldier,Jasper Sitwell,4
Captain America: Civil War,May Parker,1
Spider-Man: Homecoming,May Parker,4
ANT-MAN,Paxton,4.5
GUARDIANS OF THE GALAXY VOL. 2,Taserface,4.25
Avengers: Age Of Ultron,Laura Barton,3.75
Spider-Man: Homecoming,Tinkerer,3.75
GUARDIANS OF THE GALAXY,Ayesha,3.5
Captain America: The First Avenger,Steve Rogers,56.5
The Avengers,Steve Rogers,28.25
Captain America: The Winter Soldier,Steve Rogers,59
Avengers: Age Of Ultron,Steve Rogers,21.75
ANT-MAN,Steve Rogers,0.5
Captain America: Civil War,Steve Rogers,38.25
Spider-Man: Homecoming,Steve Rogers,1
The Incredible Hulk,Bruce Banner,51.75
The Avengers,Bruce Banner,22.25
Iron Man 3,Bruce Banner,0.75
Avengers: Age Of Ultron,Bruce Banner,20
THOR: RAGNAROK,Bruce Banner,18
Captain America: Civil War,Peter Parker,8.5
Spider-Man: Homecoming,Peter Parker,76.25
DOCTOR STRANGE,Dr. Stephen Strange,73.5
THOR: RAGNAROK,Dr. Stephen Strange,2.75
Iron Man,Pepper Potts,23.25
Iron Man 2,Pepper Potts,17.5
The Avengers,Pepper Potts,4.5
Iron Man 3,Pepper Potts,18
Spider-Man: Homecoming,Pepper Potts,0.75
GUARDIANS OF THE GALAXY,Gamora,31
GUARDIANS OF THE GALAXY VOL. 2,Gamora,24
THOR,Jane Foster,21
THOR: THE DARK WORLD,Jane Foster,25
Captain America: The First Avenger,Bucky Barnes,8
Captain America: The Winter Soldier,Bucky Barnes,13.25
ANT-MAN,Bucky Barnes,0.25
Captain America: Civil War,Bucky Barnes,22
GUARDIANS OF THE GALAXY,Drax the Destroyer,18
GUARDIANS OF THE GALAXY VOL. 2,Drax the Destroyer,16.5
GUARDIANS OF THE GALAXY,Groot,15.5
GUARDIANS OF THE GALAXY VOL. 2,Groot,14
The Incredible Hulk,Betty Ross,27
THOR,Erik Selvig,13.75
The Avengers,Erik Selvig,3
THOR: THE DARK WORLD,Erik Selvig,6.5
Avengers: Age Of Ultron,Erik Selvig,0.75
Captain America: The Winter Soldier,Wanda Maximoff,0.25
Avengers: Age Of Ultron,Wanda Maximoff,12
Captain America: Civil War,Wanda Maximoff,10.75
Iron Man,Obadiah Stane,22
Captain America: The First Avenger,Peggy Carter,17.25
Captain America: The Winter Soldier,Peggy Carter,2.25
Avengers: Age Of Ultron,Peggy Carter,0.25
ANT-MAN,Peggy Carter,0.75
Iron Man,Agent Phil Coulson,3.75
Iron Man 2,Agent Phil Coulson,2
THOR,Agent Phil Coulson,4
The Avengers,Agent Phil Coulson,9
Iron Man,Happy Hogan,1.25
Iron Man 2,Happy Hogan,4.25
Iron Man 3,Happy Hogan,6.25
Spider-Man: Homecoming,Happy Hogan,6
The Incredible Hulk,Gen. Thaddeus 'Thunderbolt' Ross,15
Captain America: Civil War,Gen. Thaddeus 'Thunderbolt' Ross,2.75
DOCTOR STRANGE,Ancient One,17.25
Avengers: Age Of Ultron,Ultron,16.75
ANT-MAN,Hope van Dyne,15.75
Captain America: The First Avenger,Johann Schmidt,15.5
ANT-MAN,Darren Cross,14.5
Avengers: Age Of Ultron,Vision,6.25
Captain America: Civil War,Vision,7.25
DOCTOR STRANGE,Christine Palmer,12.75
Captain America: The Winter Soldier,Alexander Pierce,12.75
Iron Man 3,Aldrich Killian,12
Captain America: Civil War,T'Challa,11.5
Iron Man,Ho Yinsen,10.75
Iron Man 3,Ho Yinsen,0.25
Captain America: The First Avenger,Arnim Zola,8.25
Captain America: The Winter Soldier,Arnim Zola,2.25
Captain America: The Winter Soldier,Pietro Maximoff,0.25
Avengers: Age Of Ultron,Pietro Maximoff,10
Spider-Man: Homecoming,Liz Allan,9.75
Captain America: The First Avenger,Chester Phillips,9.25
Iron Man 3,Maya Hansen,8.75
Captain America: The Winter Soldier,Crossbones,6.25
Captain America: Civil War,Crossbones,2.25
THOR,Hogun,6.5
THOR: THE DARK WORLD,Hogun,1
THOR: RAGNAROK,Hogun,0.75
Captain America: The Winter Soldier,Sharon Carter,2.5
Captain America: Civil War,Sharon Carter,5
The Incredible Hulk,Samuel Sterns,7.5
ANT-MAN,Luis,7
GUARDIANS OF THE GALAXY,Kraglin,1.75
GUARDIANS OF THE GALAXY VOL. 2,Kraglin,4.75
THOR: THE DARK WORLD,Algrim,6.25
THOR: RAGNAROK,Grandmaster,6
Iron Man 3,Savin,6
Iron Man,Christine Everhart,3.75
Iron Man 2,Christine Everhart,1.5
ANT-MAN,Cassandra Lang,4.5
Spider-Man: Homecoming,This character is no longer available,4.5
THOR: THE DARK WORLD,The Collector,1.25
GUARDIANS OF THE GALAXY,The Collector,2.5
THOR: RAGNAROK,Korg,3.75
THOR,King Laufey,3.5
Avengers: Age Of Ultron,Dr. Helen Cho,3.25
